Sample 215: No. iterations = 27, Error = 0.000810473
Sample 216: No. iterations = 2, Error = 0.000109793
Sample 217: No. iterations = 48, Error = 0.000578992
Sample 218: No. iterations = 57, Error = 0.000847952
Sample 219: No. iterations = 5, Error = 0.000398609
Sample 220: No. iterations = 344, Error = 0.000625749
Sample 221: No. iterations = 71, Error = 0.000419486
Sample 222: No. iterations = 30, Error = 0.00067269
Sample 223: No. iterations = 46, Error = 0.000751384
Sample 224: No. iterations = 88, Error = 4.77846e-05
Sample 225: No. iterations = 405, Error = 0.0003124
Sample 226: No. iterations = 162, Error = 8.85072e-05
Sample 227: No. iterations = 109, Error = 0.000798218
Sample 228: No. iterations = 12, Error = 0.00035068
Sample 229: No. iterations = 95, Error = 0.000704
Sample 230: No. iterations = 35, Error = 0.000682314
Sample 231: No. iterations = 66, Error = 0.000930638
Sample 232: No. iterations = 4, Error = 0.000187025
Sample 233: No. iterations = 220, Error = 0.000237446
Sample 234: No. iterations = 169, Error = 0.000795876
Sample 235: No. iterations = 1, Error = 0.000262833
Sample 236: No. iterations = 75, Error = 0.000946106
Sample 237: No. iterations = 239, Error = 0.00043327
Sample 238: No. iterations = 3, Error = 0.000589519
Sample 239: No. iterations = 84, Error = 0.00019814
Sample 240: No. iterations = 9, Error = 0.000776807
Sample 241: No. iterations = 287, Error = 0.000982244
Sample 242: No. iterations = 330, Error = 0.000430883
Sample 243: No. iterations = 18, Error = 0.0001449
Sample 244: No. iterations = 44, Error = 0.000745718
Sample 245: No. iterations = 515, Error = 8.64893e-05
Sample 246: No. iterations = 222, Error = 0.000683693
Sample 247: No. iterations = 152, Error = 3.55251e-05
Sample 248: No. iterations = 87, Error = 3.77738e-05
Sample 249: No. iterations = 200, Error = 0.000627603
Sample 250: No. iterations = 4, Error = 0.000393805
Sample 251: No. iterations = 550, Error = 0.39624
Sample 252: No. iterations = 37, Error = 0.000465815
Sample 253: No. iterations = 102, Error = 0.000819472
Sample 254: No. iterations = 169, Error = 3.51554e-06
Sample 255: No. iterations = 77, Error = 0.000422583
Sample 256: No. iterations = 4, Error = 0.000493141
Sample 257: No. iterations = 460, Error = 0.000461185
Sample 258: No. iterations = 69, Error = 0.000843686
Sample 259: No. iterations = 225, Error = 0.000677314
Sample 260: No. iterations = 132, Error = 0.000431827
Sample 261: No. iterations = 243, Error = 0.000502873
Sample 262: No. iterations = 24, Error = 0.000239573
Sample 263: No. iterations = 78, Error = 0.000122085
Sample 264: No. iterations = 21, Error = 0.000562103
Sample 265: No. iterations = 494, Error = 0.000620214
Sample 266: No. iterations = 158, Error = 4.35657e-05
Sample 267: No. iterations = 212, Error = 0.000499571
Sample 268: No. iterations = 20, Error = 4.77932e-05
Sample 269: No. iterations = 103, Error = 0.000231779
Sample 270: No. iterations = 63, Error = 0.00010759
Sample 271: No. iterations = 5, Error = 0.000616131
Sample 272: No. iterations = 84, Error = 0.000666282
